OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
11,GO-20149000113,12/31/2013 5:00:00 AM,2013,December,Tuesday,31,365,0,1/3/2014 5:00:00 AM,2014,January,Friday,3,3,16,D51,"Apartment (Rooming House, Condo)",Apartment,OT,,RC,18,BLK,1200,STOLEN,THEFT UNDER,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3751895486948,43.6518039909077,-8836005.68221425,5411715.21746033
12,GO-20149000137,1/3/2014 5:00:00 AM,2014,January,Friday,3,3,8,1/4/2014 5:00:00 AM,2014,January,Saturday,4,4,18,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,HARDROCK,MT,18,GRY,560,STOLEN,THEFT UNDER,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),-79.4233758248712,43.6859317065708,-8841369.75392179,5416967.33587115
13,GO-20141281947,1/4/2014 5:00:00 AM,2014,January,Saturday,4,4,18,1/4/2014 5:00:00 AM,2014,January,Saturday,4,4,18,D51,"Apartment (Rooming House, Condo)",Apartment,MIELE,,RG,21,BLU,200,STOLEN,THEFT UNDER,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.379651649712,43.6637800028837,-8836502.40102543,5413557.93753216
14,GO-20141285125,12/23/2013 5:00:00 AM,2013,December,Monday,23,357,9,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,9,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,E-BIKE,ELECTRIC,EL,23,GRN,1000,STOLEN,THEFT UNDER,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3763604501496,43.6585104976143,-8836136.02631733,5412747.08623109
15,GO-20141287666,1/4/2014 5:00:00 AM,2014,January,Saturday,4,4,20,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,18,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,IGUANA,MT,21,GRNMRN,900,STOLEN,THEFT FROM MOTOR VEHICLE UNDER,056,Leaside-Bennington (56),056,Leaside-Bennington (56),-79.3630434047236,43.7058698747471,-8834653.57964907,5420037.12268317
16,GO-20141293197,12/28/2013 5:00:00 AM,2013,December,Saturday,28,362,16,1/6/2014 5:00:00 AM,2014,January,Monday,6,6,20,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GENESIS,,MT,0,OTH,1500,STOLEN,B&E,152,East Willowdale (152),051,Willowdale East (51),-79.3975621789055,43.7793074986276,-8838496.19199355,5431352.78739274
17,GO-20141291713,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,21,1/6/2014 5:00:00 AM,2014,January,Monday,6,6,12,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN MAKE,1700,SC,0,RED,0,UNKNOWN,PROPERTY - LOST,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.4371259697797,43.7186023587707,-8842900.41306152,5421998.01814674
18,GO-20141298500,11/22/2013 5:00:00 AM,2013,November,Friday,22,326,8,1/7/2014 5:00:00 AM,2014,January,Tuesday,7,7,13,D55,"Apartment (Rooming House, Condo)",Apartment,GIANT,RAPID,OT,3,YELRED,1300,STOLEN,THEFT UNDER,070,South Riverdale (70),070,South Riverdale (70),-79.3405895843192,43.6622735216002,-8832154.03172898,5413326.1187255
19,GO-20141305317,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,23,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,15,D51,Bar / Restaurant,Commercial,VELOTEQ,SHOGT,EL,23,BLK,1800,STOLEN,THEFT UNDER,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.379357949273,43.6618755009793,-8836469.70637967,5413264.87182645
20,GO-20141304072,1/7/2014 5:00:00 AM,2014,January,Tuesday,7,7,8,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,11,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GIANT,YUKON,MT,21,SILBLU,150,STOLEN,B&E W'INTENT,070,South Riverdale (70),070,South Riverdale (70),-79.3307823959409,43.6603254397122,-8831062.30055471,5413026.35453878
21,GO-20141298201,12/27/2013 5:00:00 AM,2013,December,Friday,27,361,20,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,9,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,AMIGO,VESPA,EL,1,RED,3300,STOLEN,THEFT UNDER,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.4011106329617,43.6469652864393,-8838891.20408594,5410970.80182267
22,GO-20149000241,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,20,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,21,D51,"Apartment (Rooming House, Condo)",Apartment,OT,MILANO WD,RG,21,BLK,479,STOLEN,THEFT UNDER - BICYCLE,073,Moss Park (73),073,Moss Park (73),-79.3558020640381,43.656528295632,-8833847.47725629,5412442.09097799
23,GO-20141318595,1/10/2014 5:00:00 AM,2014,January,Friday,10,10,9,1/10/2014 5:00:00 AM,2014,January,Friday,10,10,17,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EMMO,URBAN EN122687,SC,0,BLK,800,STOLEN,THEFT UNDER,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3965402355603,43.6494389885426,-8838382.42981917,5411351.36375852
24,GO-20141318032,1/10/2014 5:00:00 AM,2014,January,Friday,10,10,6,1/10/2014 5:00:00 AM,2014,January,Friday,10,10,15,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SUPERCYCLE,,OT,24,GRY,400,STOLEN,THEFT UNDER,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3809177432754,43.6415572806237,-8836643.34185349,5410138.87259047
25,GO-20149000374,6/6/2013 4:00:00 AM,2013,June,Thursday,6,157,9,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,10,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,UK,PARIS,RG,7,BLK,700,STOLEN,THEFT UNDER,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3855491405765,43.6460531851568,-8837158.90672051,5410830.48540655
26,GO-20141324363,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,7,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,21,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NEXT,GIRL'S,OT,9,BLK,200,STOLEN,THEFT UNDER,095,Annex (95),095,Annex (95),-79.4209253317949,43.6700142166383,-8841096.96628884,5414517.32648725
27,GO-20141324363,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,7,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,21,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,CCM,SPRING,OT,5,BLU,200,STOLEN,THEFT UNDER,095,Annex (95),095,Annex (95),-79.4209253317949,43.6700142166383,-8841096.96628884,5414517.32648725
28,GO-20141333599,1/13/2014 5:00:00 AM,2014,January,Monday,13,13,6,1/13/2014 5:00:00 AM,2014,January,Monday,13,13,6,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,KHS,FLITE 300,RC,10,,1100,STOLEN,THEFT UNDER,084,Little Portugal (84),084,Little Portugal (84),-79.4342234219242,43.6463024940364,-8842577.30289616,5410868.83856305
29,GO-20149000401,1/8/2014 5:00:00 AM,2014,January,Wednesday,8,8,17,1/13/2014 5:00:00 AM,2014,January,Monday,13,13,17,D32,"Apartment (Rooming House, Condo)",Apartment,CA,SLICE,RC,20,WHI,2399,STOLEN,THEFT UNDER,153,Avondale (153),051,Willowdale East (51),-79.4039038144616,43.7559307884816,-8839202.13957255,5427749.27149419
30,GO-20141330378,1/11/2014 5:00:00 AM,2014,January,Saturday,11,11,23,1/13/2014 5:00:00 AM,2014,January,Monday,13,13,17,D54,"Apartment (Rooming House, Condo)",Apartment,DEVINCI,MOUNTAIN,MT,18,BLURED,900,STOLEN,THEFT UNDER,057,Broadview North (57),057,Broadview North (57),-79.3532935098141,43.6885245915827,-8833568.22630238,5417366.49256113
31,GO-20149000445,1/14/2014 5:00:00 AM,2014,January,Tuesday,14,14,10,1/14/2014 5:00:00 AM,2014,January,Tuesday,14,14,16,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,UK,,RG,10,ONG,2000,STOLEN,THEFT UNDER,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3823855423882,43.65027638938,-8836806.73649076,5411480.19545299
32,GO-20149000428,1/14/2014 5:00:00 AM,2014,January,Tuesday,14,14,8,1/14/2014 5:00:00 AM,2014,January,Tuesday,14,14,17,D22,Schools During Supervised Activity,Educational,OT,,RG,3,BLU,600,STOLEN,THEFT UNDER,018,New Toronto (18),018,New Toronto (18),-79.5180320910814,43.5979722992939,-8851906.8412533,5403436.79916538
33,GO-20141351368,1/15/2014 5:00:00 AM,2014,January,Wednesday,15,15,21,1/15/2014 5:00:00 AM,2014,January,Wednesday,15,15,23,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GIMELLY,,EL,1,RED,750,STOLEN,THEFT UNDER,073,Moss Park (73),073,Moss Park (73),-79.3723764526907,43.6581656972694,-8835692.52979997,5412694.03205088
34,GO-20149000495,1/12/2014 5:00:00 AM,2014,January,Sunday,12,12,10,1/16/2014 5:00:00 AM,2014,January,Thursday,16,16,12,D14,"Apartment (Rooming House, Condo)",Apartment,SC,,MT,21,DBL,300,STOLEN,THEFT UNDER,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3956427347843,43.6400206791244,-8838282.52046487,5409902.50627091
35,GO-20141367591,1/18/2014 5:00:00 AM,2014,January,Saturday,18,18,0,1/18/2014 5:00:00 AM,2014,January,Saturday,18,18,14,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SUPERCYCLE,,MT,15,BLUWHI,150,STOLEN,B&E,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.3036371666015,43.7306821457747,-8828040.50748496,5423858.77874174
36,GO-20149000553,1/18/2014 5:00:00 AM,2014,January,Saturday,18,18,4,1/18/2014 5:00:00 AM,2014,January,Saturday,18,18,16,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,NO,,RG,16,BLU,120,STOLEN,THEFT UNDER,084,Little Portugal (84),084,Little Portugal (84),-79.4342234219242,43.6463024940364,-8842577.30289616,5410868.83856305
37,GO-20149000575,1/9/2014 5:00:00 AM,2014,January,Thursday,9,9,14,1/19/2014 5:00:00 AM,2014,January,Sunday,19,19,14,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GT,AGGRESSOR,MT,21,BLK,350,STOLEN,THEFT UNDER,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.4485364185212,43.6624394188498,-8844170.61843392,5413351.64683716
38,GO-20141383464,1/17/2014 5:00:00 AM,2014,January,Friday,17,17,20,1/21/2014 5:00:00 AM,2014,January,Tuesday,21,21,10,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CCM,,RG,5,BRNWHI,100,STOLEN,MISCHIEF UNDER,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3920588405605,43.655806195001,-8837883.56320973,5412330.98604624
39,GO-20141383941,1/9/2014 5:00:00 AM,2014,January,Thursday,9,9,13,1/21/2014 5:00:00 AM,2014,January,Tuesday,21,21,11,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,KONA,,RG,21,GRN,2000,STOLEN,THEFT UNDER,081,Trinity-Bellwoods (81),081,Trinity-Bellwoods (81),-79.4069828314629,43.651378192884,-8839544.89417713,5411649.70771458
40,GO-20141391839,1/22/2014 5:00:00 AM,2014,January,Wednesday,22,22,19,1/22/2014 5:00:00 AM,2014,January,Wednesday,22,22,19,D43,Convenience Stores,Commercial,SPECIALIZED,S-WORKS TARMAC,RC,14,BLK,3000,UNKNOWN,POSSESSION PROPERTY OBC UNDER,139,Scarborough Village (139),139,Scarborough Village (139),-79.2189016837165,43.7431770857176,-8818607.79666528,5425783.88407955
41,GO-20141386364,12/25/2013 5:00:00 AM,2013,December,Wednesday,25,359,0,1/22/2014 5:00:00 AM,2014,January,Wednesday,22,22,16,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SPECIALIZED,,MT,21,RED,500,STOLEN,B&E,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),-79.4247582187118,43.6890838963217,-8841523.64131794,5417452.59580116
42,GO-20141386364,12/25/2013 5:00:00 AM,2013,December,Wednesday,25,359,0,1/22/2014 5:00:00 AM,2014,January,Wednesday,22,22,16,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GIANT,RACER,RC,21,BLK,950,STOLEN,B&E,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),-79.4247582187118,43.6890838963217,-8841523.64131794,5417452.59580116
43,GO-20141404003,1/5/2014 5:00:00 AM,2014,January,Sunday,5,5,12,1/24/2014 5:00:00 AM,2014,January,Friday,24,24,18,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,XINGYUE,TDR295,SC,1,BLK,1800,STOLEN,THEFT UNDER,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3778790513714,43.6652129043166,-8836305.07620738,5413778.4391728
44,GO-20141414982,1/25/2014 5:00:00 AM,2014,January,Saturday,25,25,18,1/26/2014 5:00:00 AM,2014,January,Sunday,26,26,18,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,CERVELO,R2.5,RC,18,BLK,10000,STOLEN,THEFT OVER,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3621343568586,43.6501852892888,-8834552.3848886,5411466.17988064
45,GO-20141427708,1/28/2014 5:00:00 AM,2014,January,Tuesday,28,28,21,1/28/2014 5:00:00 AM,2014,January,Tuesday,28,28,21,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,THIN BLUE LINE,DUSTER,RC,18,BLU,1000,STOLEN,THEFT UNDER,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.3959389510184,43.7047426145588,-8838315.49507915,5419863.53648756
46,GO-20149000818,1/27/2014 5:00:00 AM,2014,January,Monday,27,27,17,1/28/2014 5:00:00 AM,2014,January,Tuesday,28,28,13,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,GT,,RG,10,RED,1100,STOLEN,THEFT UNDER,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3778790513714,43.6652129043166,-8836305.07620738,5413778.4391728
47,GO-20141427259,1/28/2014 5:00:00 AM,2014,January,Tuesday,28,28,19,1/28/2014 5:00:00 AM,2014,January,Tuesday,28,28,19,D12,"Apartment (Rooming House, Condo)",Apartment,OTHER,,MT,10,BLK,,STOLEN,B&E,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.4941474021558,43.6725846300648,-8849248.00983607,5414912.91873328
48,GO-20149000818,1/27/2014 5:00:00 AM,2014,January,Monday,27,27,17,1/28/2014 5:00:00 AM,2014,January,Tuesday,28,28,13,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,TR,,RG,10,WHI,1600,STOLEN,THEFT UNDER,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3778790513714,43.6652129043166,-8836305.07620738,5413778.4391728
49,GO-20141432628,1/28/2014 5:00:00 AM,2014,January,Tuesday,28,28,15,1/29/2014 5:00:00 AM,2014,January,Wednesday,29,29,21,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,CUSTOM,,OT,0,BLU,,STOLEN,THEFT UNDER,055,Thorncliffe Park (55),055,Thorncliffe Park (55),-79.3605703088432,43.7031688823898,-8834378.27586166,5419621.20360052
50,GO-20149000867,1/29/2014 5:00:00 AM,2014,January,Wednesday,29,29,8,1/30/2014 5:00:00 AM,2014,January,Thursday,30,30,17,D12,"Construction Site (Warehouse, Trailer, Shed)",Commercial,NO,VFR 5,RG,10,BLK,1800,STOLEN,THEFT UNDER,090,Junction Area (90),090,Junction Area (90),-79.4732411159095,43.6720008439581,-8846920.73272417,5414823.07128963
51,GO-20149000905,1/31/2014 5:00:00 AM,2014,January,Friday,31,31,11,2/1/2014 5:00:00 AM,2014,February,Saturday,1,32,0,D13,Ttc Subway Station,Transit,OT,MONT STE-ANNE,MT,18,,,STOLEN,THEFT UNDER,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),-79.4378756780549,43.708313258825,-8842983.87017433,5420413.38935233
52,GO-20149000963,2/2/2014 5:00:00 AM,2014,February,Sunday,2,33,1,2/2/2014 5:00:00 AM,2014,February,Sunday,2,33,21,D54,"Apartment (Rooming House, Condo)",Apartment,GT,AVALANCHE,MT,8,GRY,200,UNKNOWN,PROPERTY - LOST,057,Broadview North (57),057,Broadview North (57),-79.3508621107908,43.6879661924393,-8833297.56420378,5417280.52929023
53,GO-20141455227,2/1/2014 5:00:00 AM,2014,February,Saturday,1,32,15,2/2/2014 5:00:00 AM,2014,February,Sunday,2,33,11,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OTHER,STINGER,EL,30,WHI,850,STOLEN,THEFT UNDER,073,Moss Park (73),073,Moss Park (73),-79.3691329532559,43.6533743924781,-8835331.46503158,5411956.83033771
54,GO-20141466776,2/3/2014 5:00:00 AM,2014,February,Monday,3,34,19,2/4/2014 5:00:00 AM,2014,February,Tuesday,4,35,9,D32,"Private Property Structure (Pool, Shed, Detached Garage)",Other,ROCKY MOUNTAIN,TRAILHEAD,MT,21,GRN,1400,STOLEN,THEFT UNDER,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),-79.4287218094322,43.732135363181,-8841964.86613846,5424082.65639838
55,GO-20149000997,1/27/2014 5:00:00 AM,2014,January,Monday,27,27,9,2/4/2014 5:00:00 AM,2014,February,Tuesday,4,35,9,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UK,VIENNA,RG,21,GRY,400,STOLEN,THEFT UNDER,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.4505443175638,43.6610440183119,-8844394.13672817,5413136.92572837
56,GO-20141474673,1/31/2014 5:00:00 AM,2014,January,Friday,31,31,15,2/5/2014 5:00:00 AM,2014,February,Wednesday,5,36,15,D12,"Private Property Structure (Pool, Shed, Detached Garage)",Other,SWINN,COMFORT,MT,24,GRN,500,STOLEN,THEFT UNDER,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.5028744994994,43.670799332058,-8850219.50583021,5414638.15562515
57,GO-20141472644,2/4/2014 5:00:00 AM,2014,February,Tuesday,4,35,17,2/5/2014 5:00:00 AM,2014,February,Wednesday,5,36,9,D14,"Apartment (Rooming House, Condo)",Apartment,OTHER,2000FS,SC,1,BLU,2000,STOLEN,THEFT UNDER,085,South Parkdale (85),085,South Parkdale (85),-79.436600321132,43.6387314862785,-8842841.89808251,5409704.20206537
58,GO-20141475534,2/4/2014 5:00:00 AM,2014,February,Tuesday,4,35,18,2/5/2014 5:00:00 AM,2014,February,Wednesday,5,36,18,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,RAVEN,RAVEN,EL,1,RED,400,STOLEN,THEFT UNDER,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.3778790513714,43.6652129043166,-8836305.07620738,5413778.4391728
59,GO-20141488887,2/7/2014 5:00:00 AM,2014,February,Friday,7,38,17,2/7/2014 5:00:00 AM,2014,February,Friday,7,38,21,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,,EL,1,BLK,,STOLEN,THEFT UNDER,073,Moss Park (73),073,Moss Park (73),-79.3734416516915,43.6572984964023,-8835811.10721024,5412560.5980591
60,GO-20141492599,1/25/2014 5:00:00 AM,2014,January,Saturday,25,25,8,2/8/2014 5:00:00 AM,2014,February,Saturday,8,39,16,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,SCAPIN,FAZER,RC,18,,9423,STOLEN,THEFT OVER,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3870670479449,43.6685417079251,-8837327.87935482,5414290.71172785
61,GO-20141499515,2/7/2014 5:00:00 AM,2014,February,Friday,7,38,20,2/9/2014 5:00:00 AM,2014,February,Sunday,9,40,18,D54,"Construction Site (Warehouse, Trailer, Shed)",Commercial,SCOTT,SCALE 35,MT,21,,2500,STOLEN,THEFT UNDER,067,Playter Estates-Danforth (67),067,Playter Estates-Danforth (67),-79.3572130957706,43.6829305667742,-8834004.55262002,5416505.35269268
62,GO-20141499515,2/7/2014 5:00:00 AM,2014,February,Friday,7,38,20,2/9/2014 5:00:00 AM,2014,February,Sunday,9,40,18,D54,"Construction Site (Warehouse, Trailer, Shed)",Commercial,OTHER,WILIER,RC,18,WHI,4000,STOLEN,THEFT UNDER,067,Playter Estates-Danforth (67),067,Playter Estates-Danforth (67),-79.3572130957706,43.6829305667742,-8834004.55262002,5416505.35269268
63,GO-20149001208,1/1/2014 5:00:00 AM,2014,January,Wednesday,1,1,18,2/11/2014 5:00:00 AM,2014,February,Tuesday,11,42,18,D52,"Apartment (Rooming House, Condo)",Apartment,OT,UNKNOWN,EL,32,YEL,1750,STOLEN,THEFT UNDER,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.386365245813,43.6624776015813,-8837249.75511355,5413357.52241987
64,GO-20141508981,2/11/2014 5:00:00 AM,2014,February,Tuesday,11,42,10,2/11/2014 5:00:00 AM,2014,February,Tuesday,11,42,10,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,SPECIALIZED,CRUX ELITE RIOA,RC,22,RED,3300,STOLEN,THEFT UNDER,055,Thorncliffe Park (55),055,Thorncliffe Park (55),-79.3590916079587,43.7128721675715,-8834213.66761931,5421115.47535576
65,GO-20149001221,2/12/2014 5:00:00 AM,2014,February,Wednesday,12,43,9,2/12/2014 5:00:00 AM,2014,February,Wednesday,12,43,17,D13,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,DART LITHIUM,EL,1,BLK,1700,STOLEN,THEFT UNDER,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),-79.4355280223981,43.6786888138344,-8842722.53030385,5415852.43405306
